Suburb,Address,Rooms,Type,Price
Richmond,5/10 Elaine Ct,,u,807000.0
Elwood,3/99 Tennyson St,2,T,1200000.0
Elwood,34 Foam St,4,h,3040000.0
Richmond,247 Church St,3,h,1010000.0
Doncaster,19 Gilmore Rd,3,H,1485000.0
Richmond,4/5 Leslie St,Two,U,630000.0
Elwood,1/13 Beach Av,3,h,1753000.0
Richmond,23/5 Stillman St,1,u,500000.0
Doncaster,19 Gilmore Rd,3,H,1485000.0
Richmond,5 Birch Sq,3,h,1350000.0
Doncaster,6/14 Firth St,2,u,400000.0
Richmond,33/24 Tanner St,Yes,t,1200000.0
Fawkner,13 Denys St,3,h,730.0
Richmond,92 Madden Gr,2,H,NA
Elwood,90 Tennyson St,2,h,1400000.0
Elwood,10/229 Brighton Rd,2,u,526000.0
Elwood,7/282 Barkly St,1,u,360000.0
Doncaster,21 Hampshire Rd,NA,h,1360000.0
Fawkner,46 Percy St,Three,h,615000.0
Elwood,20 Addison St,3,h,N/A
Richmond,48 Docker St,3,h,2000000.0
Richmond,48 Docker St,3,h,2000000.0
